PC,Gene,Loading
PC1,FOXA1,0.11449649573042525
PC1,MLPH,0.1143221758682991
PC1,TBC1D9,0.11403776416006725
PC1,GATA3,0.11088282784293801
PC1,CA12,0.11061223386337453
PC1,ESR1,0.1075799598188312
PC1,AGR2,0.10716223668636626
PC1,XBP1,0.10679141022439845
PC1,SLC39A6,0.10396841686209057
PC1,MAGED2,0.10308746647177552
PC2,SNRPG,0.13132921696441968
PC2,CCNB1,0.12429770410038309
PC2,RACGAP1,0.12359184143251854
PC2,KLHL29,-0.11734386888603622
PC2,NUSAP1,0.11669716827641996
PC2,MTHFD2,0.11610176833456654
PC2,CENPU,0.11405373369864796
PC2,NME1,0.11176466808530165
PC2,RRM2,0.10986125992222791
PC2,DHFR,0.10953051956991063
PC3,ESPL1,0.1358468949401337
PC3,SPARCL1,-0.12201305250101879
PC3,BIRC5,0.12200493564234051
PC3,ASPN,-0.1193001285774684
PC3,PDLIM1,-0.11728398262399956
PC3,TK1,0.11533389970851694
PC3,ANXA2P2,-0.11239098874414655
PC3,ANXA3,-0.10999111752011999
PC3,UBE2C,0.10877932142576757
PC3,GSN,-0.10818898619369283
PC4,ZNF3,0.13524152740973186
PC4,RASAL2,0.12530865352321743
PC4,AKAP9,0.12168154567178548
PC4,KANK1,0.1207861043461197
PC4,POLR1G,0.12010549653126516
PC4,NFX1,0.1163667117365942
PC4,TNKS,0.1154948667620176
PC4,CNN1,0.11236360836052135
PC4,NCOR1,0.11189145633285173
PC4,PDP1,0.10742720726883809
PC5,GALR2,0.1621439834312835
PC5,PCSK7,0.14215450934761836
PC5,DUSP10,0.13517433622570213
PC5,LRRC37A4P,0.13063371946641822
PC5,STARD3,0.13043133270743054
PC5,SPATA31C2,0.12906253321304156
PC5,H4C13,0.12839815413600816
PC5,ZNF225,0.12537041923665276
PC5,PDZK1IP1,0.11644151824413816
PC5,AP3M2,-0.11606877975348429
PC6,STK17A,0.18073520662233733
PC6,SNX10,0.1768217058830604
PC6,PIM2,0.15823493908444297
PC6,LYZ,0.1457585402475054
PC6,SYNE1,0.1436389041758614
PC6,RAPGEF6,0.1387247246654381
PC6,GALT,0.13749945980688166
PC6,SLAMF7,0.12251577746108203
PC6,GRB2,0.12123586035574106
PC6,SDC1,-0.11800815856100179
PC7,F2RL1,0.160874654122565
PC7,EAF2,0.14652600315936698
PC7,DIO2,0.1341575949078629
PC7,CHN1,0.12582186065975254
PC7,MAB21L4,0.12477110028110593
PC7,SPTLC2,0.1225790794040289
PC7,PDP1,0.11828027049609802
PC7,PITPNC1,0.11789749315316954
PC7,CLCA2,0.11624706543114126
PC7,ARL4A,0.1161548127425599
PC8,IGFBP4,0.16866888043737568
PC8,TIMP2,0.1423490561047225
PC8,SPARCL1,0.14111678568533978
PC8,MMP1,0.13530714170871408
PC8,FCGRT,0.1333541116048842
PC8,CTSB,0.13295381313429785
PC8,ASPN,0.13227459827238067
PC8,IFT56,-0.1281611825614161
PC8,MMP3,0.1265152016552526
PC8,B4GALT7,0.12040471384597606
PC9,OCRL,0.15285567795162017
PC9,GPR143,0.1482486820050894
PC9,ADM,0.14463747872588437
PC9,RPL13A,-0.14308448083044098
PC9,SNX10,0.14241312067381395
PC9,ARHGEF11,0.1360518181075311
PC9,CTSB,0.1229012139606531
PC9,IFNGR2,0.11628362087539297
PC9,TFG,0.11623303809602165
PC9,SDF2,0.1143094966374489
PC10,NIN,0.23034038456744602
PC10,CREB3,-0.1797689031940618
PC10,POFUT2,0.16577805392722084
PC10,PEX6,-0.16058672221250067
PC10,CREM,-0.15580786804108562
PC10,SZRD1,-0.1399256542898259
PC10,PIGO,-0.1280144819617708
PC10,NFKBIE,-0.12791563998226407
PC10,EAF2,-0.12696605852302797
PC10,UBE2Z,-0.11354017005674603
PC11,PRSS23,0.13490330067998738
PC11,ME3,0.13249904208858682
PC11,BLTP2,-0.12471642442229071
PC11,ERBB2,-0.12274120591761661
PC11,MED1,-0.11849109775946151
PC11,PMAIP1,0.11509084130186757
PC11,SPC25,0.11293295747046647
PC11,EAF2,-0.10782626307935055
PC11,UPK1A,-0.10724964084076018
PC11,GAK,-0.105764779651399
PC12,JPT1,0.14128473914342451
PC12,TP53I3,0.1400561522586566
PC12,MTRR,-0.1400150082273878
